 ;ny 
 ; g
! ;on! 
y ar;y are
u;ru
 how; how 
o; go
 ; D
a;ica
a; ma
 talking ; talking t
g;gi
a; Ma
din;ding
at ;at i
e;nd the
rs;rse
ki;kil
e t;e ta
or;or 
n;own
 ;oses 
a; was a
l;ou l
:; #2:
k;k, 
Fla;Flash 
 ;ds 
H;. H
me;me!
r;mer
d; we d
l; wil
u;You
s;ns
icks;icks 
anessa;anessa 
a; up a
a;the ba
a;az
ow;own
th the;th the 
r;is r
 ;S 
c;lac
g,;g, 
e bees;e bees 
d ;d Vanessa 
ne;yone
s int;s into 
l;poll
e c;e cr
fly;fly 
nd ;rry and 
l th;l the
o; too
MO;MONTGOMERY
and ;and h
go;go 
 ;(To 
nt ;nt o
but;but 
:;ADAM:
 have ; have t
n;sin
ne;new
o yo;o you
g the;g the 
g;big
(To;(To 
(Po;(Point
w;m w
ees ;ees a
u;u?
this;this.
 happ; happen
e ;e w
n';n't
n;plan
that ;that a
ag;aga
e be;e bee
a;, a
 I; It
h ;h f
e flo;e flower
alking;alking 
d ;m and 
 we; were
 ; some 
ave;ave 
Ho;Hon
a; pla
Wha;What
i;thi
rry;rry)
ce;ce.
off;offe
y;away
ing ;ing a
and;and 
e;othe
y;fly
 s; sn
JOCK #;JOCK #2:
ssa ;ssa a
le;les
e; The
o;t do
 ; pollen 
);n)
s ; hits 
ul;ull
's ;re's 
 and ; and t
e g;e gr
 ; but 
 ;e you 
 B; Barry
a;is ha
n;ing an
2:;OCK #2:
e;om the
ve;e hive
o ;ut to 
a;ke a
 the bee; the bees
 and ; and i
nd ;nd Vanessa 
n;es an
ing;flying
 #;JOCK #
es ; flies 
n; turn
s;'s
r;tter
 do; down
nto ;nto a 
o;ome o
ye;yell
 ;an 
V; V
H;- H
';an'
a; fa
it.;it. 
h;! Th
- I;- I'
d;ound
 ;off the 
s ;gets 
li;lie
f;(Barry f
t;ying t
o ;o c
What;What 
Y;RRY
a;gra
t ;t s
fa;rry! Breakfast is ready!
 ;o the 
e; here
ME;MERY
tin;ting
ry;ry.
 ;ree 
ev;eve
fi;fic
o;e ro
in;in 
r;hur
o;he co
a;dea
 i; is
the;ther
t;on t
h; I h
o;sho
hinking;hinking 
l; wal
2;2:
r;her
i;essa i
 and ; and s
int;into 
tt;tte
s;Is
st ;st t
on;ons
T;Ta
 You; You're 
 ;hat is 
 ;d we 
h;eth
 ye; yea
l;Barry l
d; dead
t;rat
MBL;MBLE
nto;nto 
ees;ees!
2:; JOCK #2:
orward ;orward in time
 ; being 
 s; st
so;sor
BARRY;BARRY:
s ; takes 
s l;s li
 somet; something
in;int
a;la
is ;is c
v;iev
o;m so
m;mm
k ;k you
ward;ward 
 ;n Jocks 
e;ey
o; Yo
os;ose
ing; talking
ello;ellow
, ;, l
b;re b
l;Pol
t; to t
 ;nna 
s;s! 
rd i;rd in time
and ;forward in time and 
 ou; out
di;die
 ;But 
 ;ill 
n;in
a;s a
be ;be t
fac;face
U;BU
a;s pa
ollen Jocks;ollen Jocks 
k;ki
g;ding
NT;NTGOMERY
 tu; tur
ses;Roses
 ;arry 
't; I can't
r ;r h
l; the l
od; good
e;ybe
 ;h 
oki;oking
 ;red 
tri;trie
s;os
I;RI
f ; if 
for ;for th
and Adam;and Adam 
I'm ;I'm s
il;ill
nd;ndi
i;ip
s m;s ma
:;VANESSA:
en;ene
re ;re r
he ;he p
a;aw
las;lass
ETON:;JUDGE BUMBLETON:
flies ;flies o
';e'
e;eave
';n'
y;guy
);sa)
 ;tting 
.;s.
?;re?
 What; What 
n;e n
i;r li
i;si
dn;dn't
 me; mea
m;om
d;ind
l;ful
B;- B
k ;k u
fr;fri
i;nsi
 ;'t 
uld;uldn't
h;ish
TO;TOR:
e;t e
right,;right, 
al;al 
Well;Well, 
e;, we
 with t; with th
a;ks a
 ;d it 
u; su
forward ;(Flash forward 
 f; fi
m;s m
t;s it
I;IT
k;alk
M;MA
?;e?
thi;this
hel;help
s;nis
you ;you d
sh forward in time ;sh forward in time and 
 ; not 
nd;nde
(;(W
e;close
qu; qu
 on; one
MO;MOOSEBLOOD
 ;e 
e p;e pl
fa;arry! Breakfast is ready!
e wind;e window
n; than
u;nou
U;UVA:
ER;ER:
e ; scene 
CA;CAR
e;eo
a;hat's a
on;on'
cr;cra
ts ;ts h
walk;walks 
N;KEN
ng i;ng it
h; a h
o;y do
s;ros
o;to do
stan;stand
arry f;arry fl
thro;through 
f;fe
';- I'
Adam;d Adam
 Th; Tha
 ;inking 
 BU; BUM
 ;nts 
B;ry! Breakfast is ready!
o;ll o
are ;are you
 ; honey 
d ;ing and 
s Barry;s Barry 
e;ed
s; Jocks
h;wh
e;ope
 g; ga
n;d in
 ;forward 
n ;n l
e pollen;e pollen 
b;o b
t; wat
 ;rd in time 
I;e I
1;POLLEN JOCK #1
 fi; fir
t; about t
bu;but
, ;, y
(;(T
ry;ry 
e;atte
 fli; flies 
i;Li
i;ard i
bout;bout 
o ;o i
e;e e
this is;this is 
 ; :
,;g,
h;igh
 ;ans 
room;room 
n;oin
u;cou
g;ging
 ;its 
 ;am 
t;g out
u ;u w
 ca; cam
a;pa
et;ets
 I ; I d
make;make 
f;ef
clos;close
ng ;ng b
on;one
 it; it 
ies ;y flies 
s in;s int
h;ch
essa;Vanessa
o;clo
 forward; forward 
p;rep
er;mber
o;o,
e;ce
a; yea
ng; long
you;you.
sa ;sa i
of the;of the 
E;EBLOOD
llo;llow
to do;to do 
n;win
et;eth
O;MO
or;door
 a; am
i;is
as;ase
y ;y c
TGOMERY;TGOMERY:
OO;OOSEBLOOD
e;ng the
T;OT
.;up.
u;t ou
ng;aring
own;own 
on;ction
o; mo
t;p t
.;time.
mi;mil
d;s d
ook;ooks 
d.;d. 
eth;ething
t h;t hi
a;r a
l;till
 the f; the flo
 ;ese 
ies ;rry flies 
s ha;s han
ne;ner
a;e da
llen Jock;llen Jocks
B;B 
re ;re a
s;urs
 ;eir 
!;rry! Breakfast is ready!
p;ap
 ; Adam 
Ken;Ken 
ng ;ng w
T;TE
 ;ring 
 ;t of 
Barry f;Barry fl
rward in time;rward in time 
 and ; and c
lea;leas
i;he wi
o; Do
n; kn
a; on a
s;t s
);essa)
 ; there 
 ;'s a 
 ;b 
v; driv
 ; plane 
z;ze
i;ali
 m; my
n Jock;n Jocks
's ;'s g
 ;n to 
o;is o
Ken ;(Ken 
u;u, 
ose;oses
s is;s is 
a;Ha
n t;n to
l;t fl
an;an'
t;the t
ou;ou'
i;ssa i
se ;se a
a;he ta
f;and f
r;lor
inte;inter
to ;to f
D;D:
 I ; I t
 I; IN 
 ;on't 
liv;live
i;r i
e';e're 
 sh; sho
Vanessa;Vanessa)
e;t be
o;(To
 ;ave a 
t; I t
!;ing bee!
 ;ands 
 #2; #2:
ght; light
 b; bo
of ;of i
 ;ally 
n; stin
he Pollen Jocks;he Pollen Jocks 
h; Th
I ;I k
i;rai
s;alls
ry ;ry t
and ; time and 
o;p o
r; cr
th;thr
f;ft
forward ;lash forward 
 he; hea
er;era
=;RY=
no;nou
er ;er w
f ;f t
ing;ing,
n;un
e; make
I can;I can't
lash forward ;lash forward in time
BL;UMBL
s;ours
u;e u
 me; me.
cau;cause 
d o;d of
n time ;n time and 
e o;e of
e;ieve
t; int
v; v
 ;ew 
o;he po
jo;jock
 tho; those
o th;o thi
omer;omery
.;me.
ou d;ou do
arry and ;arry and Adam
t ;t c
ne;nes
 ;off 
);Barry)
he pl;he plane
 have ; have a
 ;e bee 
ng o;ng ou
 H; Ho
uc;uch
a;au
 ;ir 
 ;ep 
re;res
, ;r, 
h;at h
ying ;ying t
a;to a
O;LO
t;s st
 ;about 
 his; his 
dy;body
he;hey
c; and c
N;AN
w ;w m
nce;nce 
g; to g
e;and he
 for the; for the 
ke;ke 
c;t c
o;aro
de;der
 hand; hand 
r;s your
t w;t wa
his;his 
alk;alking
 ;e, 
Fl;Fla
.; it.
 ye; yell
en; pollen
sh forward ;sh forward in time
e; e
n; min
o;ng to
 of i; of it
s;ris
,;ght,
i;s thi
Ro;Roses
t; out
 ;and Adam 
w;his w
 ta; tak
off the;off the 
v;mov
ys;ys 
i;f i
ow; window
u;inu
b;f b
tta;tta 
 ;g in 
se;ses
h, ;- Oh, 
 ver; very 
 p; pa
!;y!
h;k th
, ; bee, 
f;y f
with th;with the
ing ;etting 
w; you w
i;ry i
!;arry! Breakfast is ready!
 ;man 
ing;going
 wh; whe
could;could 
a;up a
ing hi;ing his 
f;, f
u;k u
ting;ting 
me; time
b;b 
the bee;the bees
cou;could
d b;d be
r;Fr
 ;er 
o;n jo
e Pol;e Pollen 
get;getting 
h;- Th
r;cour
 to ; to f
s;Barry s
es; does
s;s,
e ;e r
v;ov
a; wea
ea;eah
.;o.
d; heard
e; see
o;ol
l;t al
his ;his w
 ;ses 
a;av
l;l 
t;I t
r;e tr
 ;He 
ak;aking 
e h;e hi
k;hink
l; cal
t o;t ou
E;E:
The ;The s
c;u c
ic;ice
s;en Jocks
 ; with 
y ;y l
t;out
n;m an
 ;d Barry 
a;ey a
s ou;s our
LOOD;LOOD:
ck; jock
m;mi
 h; ho
e;elieve
da;dam
s at;s at 
d ;d n
whe;where
 ; r
 ge; get
a;out a
:;DAM:
s;this is
But;But 
- T;- Th
d;ted
've ;'ve got
 tru; truck
g in;g in 
ve ;ve t
ai;ait
 go; got
e have;e have 
P;Pa
ing o;ing ou
plane;plane)
 ;nk 
hy;hy 
ev;eliev
H;Ho
t;t?
ot;ott
 have to; have to 
 ;ook 
n h;n he
ivi;ivin
g ;g u
 be; bee
le;ttle
 BUMBLE; BUMBLETON:
f;s f
:;E:
e;lease
 ;o you 
i;t thi
a;'s a
ks ;ks i
ver;vers
sm;smok
pra;pray
O;OB 
Wh;Whe
d t;d to
at ;at h
 ;ry. 
know;know 
s; This
L;BL
 ; qu
o; flo
,;oney,
.;is.
 ;way 
si;sid
w; know
 ;dy 
ng t;ng to
n a;n an
CK ;CK #
i;n thi
ng,;ng, 
r; thr
ver ; never 
arry ;arry s
 fi; fin
a; like a
What ;What w
 ;that 
ike;ike 
g;ving
the ;the m
l;rl
Not;Not 
n time;ard in time
u;t u
t;oing t
re ;u're 
rry a;rry and 
y ;y f
 #;N JOCK #
 ; our 
b; of b
f;s off
k;look
N;TIN
e;t me
i; bi
w;re w
 of ; of i
ve;e have
hi;him
i;g i
A;LA
ime;d in time
ake;ake 
It;It's 
go;ve go
 ;flying 
aring;aring 
d we;d we 
v;va
You;You 
a; awa
n; man
ing.;ing. 
k; walk
ts;ts 
M;Mr. 
s y;s yo
s; and s
lly;lly 
s;arry s
bee;bee 
:;N JOCK #1:
,;n,
s;e is
t;hit
TON:;MBLETON:
ing a;ing an
en;isten
e o;e on
all;all 
ig;igh
T;T:
:;MERY:
 to ; to m
ARRY;ARRY:
 ti; time
e;e he
w;he w
a ;a l
ar ;ar t
a;'re a
up;up 
this ;this i
ent;ents
o;t wo
 ;(Adam 
 w; wo
m;him
 tr; tru
and ;d in time and 
tr;tri
ol;ole
 to ; to s
ting;ting.
an;ang
BL;BLE
ll t;ll th
 ;ngs 
aves;aves 
th;thi
ere i;ere is
:;#1:
g;ring
ou k;ou know
p ;p o
s ar;s are 
e Pollen Jock;e Pollen Jocks
 the win; the wind
t; like t
u;u'
w;know
e;d he
z;zy
r ;r r
 u; us
mo;mov
u;chu
POLLEN JOCK;POLLEN JOCK #
th;the
 li; like
t;s on t
hr;hro
ay;ays
o;Co
s; this
d ;d h
er ;er b
in time;ash forward in time
n't;ouldn't
N;IN
 ;th a 
 h; hu
p;help
ave;aves
n;o on
u ;u h
in;in.
't;sn't
ng to;ng to 
.;ce.
ua;ual
c;our c
ne;nex
es;does
 w; wa
s t;s to
uld;would
l;fall
s;you s
i; fli
o;hro
ss;sse
hat is;hat is 
sh ;sh f
i;ati
#; #
ba;back
a ;a w
(A;(A 
c;fac
 ;t in 
 ;in time 
ff;ff 
arry;s Barry
n;e win
 leav; leave
 ;e the 
one;one 
 poll; pollen
v; leav
th;tha
r;ar
i; ai
 ;ine 
l; al
anessa ;anessa i
Ho;How
w;How
it ;it o
wer;wers
 ;these 
 the ; the w
the f;the flo
s;las
 ; w
 ;s on 
or;ort
is ;is s
k;k)
C; C
h;meth
e;and the
h the;h the 
y;pray
rry ;rry l
st ;st f
i;his i
 talking; talking 
so;son
c;ac
 ;nd the 
his is;his is 
some;somet
N;N:
e;here
do;dow
hinking ;hinking bee
 ;lot 
y ;y m
ES;ESS
s h;s he
hav;have
s;d s
fo;for
l;ol
